,Track_id,Title,Artist_id,Artists,Album,Album Release Date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1899,3PzsbWSQdLCKDLxn7YZfkM,I'm On Fire,3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,Born In The U.S.A.,1984-06-04,0.62,0.446,1,-14.451,0,0.0347,0.589,0.0299,0.0727,0.868,88.591,audio_features,3PzsbWSQdLCKDLxn7YZfkM,spotify:track:3PzsbWSQdLCKDLxn7YZfkM,https://api.spotify.com/v1/tracks/3PzsbWSQdLCKDLxn7YZfkM,https://api.spotify.com/v1/audio-analysis/3PzsbWSQdLCKDLxn7YZfkM,155880,4
1900,76798uYU1DhBRVWxSo1bhY,Everybody Wants To Rule The World,4bthk9UfsYUYdcFyqxmSUU,Tears For Fears,Shout: The Very Best Of Tears For Fears,2001-01-01,0.687,0.886,7,-8.219,1,0.0485,0.38,0.00646,0.0702,0.467,112.073,audio_features,76798uYU1DhBRVWxSo1bhY,spotify:track:76798uYU1DhBRVWxSo1bhY,https://api.spotify.com/v1/tracks/76798uYU1DhBRVWxSo1bhY,https://api.spotify.com/v1/audio-analysis/76798uYU1DhBRVWxSo1bhY,247533,4
1901,51wQovDO0hf05pkZYvu1GI,On the Road Again - Live,5W5bDNCqJ1jbCgTxDD0Cb3,Willie Nelson,Willie Nelson - 16 Biggest Hits,1975-01-01,0.714,0.715,4,-9.965,1,0.0387,0.345,0.00567,0.927,0.841,111.036,audio_features,51wQovDO0hf05pkZYvu1GI,spotify:track:51wQovDO0hf05pkZYvu1GI,https://api.spotify.com/v1/tracks/51wQovDO0hf05pkZYvu1GI,https://api.spotify.com/v1/audio-analysis/51wQovDO0hf05pkZYvu1GI,152267,4
1902,2A6yzRGMgSQCUapR2ptm6A,True Colors,2BTZIqw0ntH9MvilQ3ewNY,Cyndi Lauper,True Colors,1986-10-14,0.397,0.207,0,-13.155,1,0.0331,0.701,3.07e-05,0.116,0.268,171.282,audio_features,2A6yzRGMgSQCUapR2ptm6A,spotify:track:2A6yzRGMgSQCUapR2ptm6A,https://api.spotify.com/v1/tracks/2A6yzRGMgSQCUapR2ptm6A,https://api.spotify.com/v1/audio-analysis/2A6yzRGMgSQCUapR2ptm6A,227600,4
1903,5UqqOfFa9DYXALpCCF8VwB,(I've Had) The Time of My Life,1XE70WwxhnrXNAJYQQ9ygx,"Bill Medley, Jennifer Warnes",Dirty Dancing,1987-07-10,0.697,0.665,6,-12.907,0,0.0412,0.0476,0.00665,0.0796,0.485,108.535,audio_features,5UqqOfFa9DYXALpCCF8VwB,spotify:track:5UqqOfFa9DYXALpCCF8VwB,https://api.spotify.com/v1/tracks/5UqqOfFa9DYXALpCCF8VwB,https://api.spotify.com/v1/audio-analysis/5UqqOfFa9DYXALpCCF8VwB,289680,4
1904,48O0GrGJWml3DzHhC5sJ7a,Karma Chameleon,6kz53iCdBSqhQCZ21CoLcc,Culture Club,At Worst...The Best Of Boy George And Culture Club,1993-01-01,0.676,0.577,10,-12.031,1,0.0365,0.186,0.0,0.148,0.934,91.98,audio_features,48O0GrGJWml3DzHhC5sJ7a,spotify:track:48O0GrGJWml3DzHhC5sJ7a,https://api.spotify.com/v1/tracks/48O0GrGJWml3DzHhC5sJ7a,https://api.spotify.com/v1/audio-analysis/48O0GrGJWml3DzHhC5sJ7a,241600,4
1905,2o5l8jEUf7wqXClIgTqMYF,Hold On Tight,7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra,The Essential Electric Light Orchestra,2011-10-10,0.455,0.886,7,-7.652,1,0.0724,0.107,1.09e-06,0.4,0.739,145.085,audio_features,2o5l8jEUf7wqXClIgTqMYF,spotify:track:2o5l8jEUf7wqXClIgTqMYF,https://api.spotify.com/v1/tracks/2o5l8jEUf7wqXClIgTqMYF,https://api.spotify.com/v1/audio-analysis/2o5l8jEUf7wqXClIgTqMYF,186733,4
1906,2VNfJpwdEQBLyXajaa6LWT,Burning Down the House,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,Burning Down the House / I Get Wild / Wild Gravity,1983-06-01,0.779,0.87,5,-13.141,0,0.0574,0.00644,0.0107,0.0399,0.555,102.689,audio_features,2VNfJpwdEQBLyXajaa6LWT,spotify:track:2VNfJpwdEQBLyXajaa6LWT,https://api.spotify.com/v1/tracks/2VNfJpwdEQBLyXajaa6LWT,https://api.spotify.com/v1/audio-analysis/2VNfJpwdEQBLyXajaa6LWT,241920,4
1907,4l2Edgdj4vla02GCh7YyAv,So Emotional,6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,Whitney,1987-06-02,0.698,0.791,11,-10.012,0,0.0495,0.271,4.74e-05,0.199,0.809,119.081,audio_features,4l2Edgdj4vla02GCh7YyAv,spotify:track:4l2Edgdj4vla02GCh7YyAv,https://api.spotify.com/v1/tracks/4l2Edgdj4vla02GCh7YyAv,https://api.spotify.com/v1/audio-analysis/4l2Edgdj4vla02GCh7YyAv,276667,4
1908,6qUEOWqOzu1rLPUPQ1ECpx,Walk This Way (feat. Aerosmith),3CQIn7N5CuRDP8wEI7FiDA,"Run–D.M.C., Aerosmith",Raising Hell,1986-05-15,0.761,0.711,9,-7.989,1,0.0604,0.0174,0.000101,0.0652,0.947,105.448,audio_features,6qUEOWqOzu1rLPUPQ1ECpx,spotify:track:6qUEOWqOzu1rLPUPQ1ECpx,https://api.spotify.com/v1/tracks/6qUEOWqOzu1rLPUPQ1ECpx,https://api.spotify.com/v1/audio-analysis/6qUEOWqOzu1rLPUPQ1ECpx,310387,4
1909,2BPfKiV9U0CR1dpUgeUwuH,She Drives Me Crazy,20p5D2KrE8CGuOjHtxsyTp,Fine Young Cannibals,The Raw And The Cooked,1988,0.799,0.687,2,-5.682,1,0.0431,0.193,0.000188,0.0307,0.965,108.804,audio_features,2BPfKiV9U0CR1dpUgeUwuH,spotify:track:2BPfKiV9U0CR1dpUgeUwuH,https://api.spotify.com/v1/tracks/2BPfKiV9U0CR1dpUgeUwuH,https://api.spotify.com/v1/audio-analysis/2BPfKiV9U0CR1dpUgeUwuH,215773,4
1910,6HzZhqXNyfJxuvQ9zfCc1U,Faithfully,0rvjqX7ttXeg3mTy8Xscbt,Journey,The Essential Journey,2001-10-16,0.393,0.547,11,-7.776,1,0.0291,0.263,0.0,0.104,0.307,129.677,audio_features,6HzZhqXNyfJxuvQ9zfCc1U,spotify:track:6HzZhqXNyfJxuvQ9zfCc1U,https://api.spotify.com/v1/tracks/6HzZhqXNyfJxuvQ9zfCc1U,https://api.spotify.com/v1/audio-analysis/6HzZhqXNyfJxuvQ9zfCc1U,266267,4
1911,0yT3JBkQzJNaS2mCXSPI8Z,I Can't Go for That (No Can Do),77tT1kLj6mCWtFNqiOmP9H,Daryl Hall & John Oates,The Very Best of Daryl Hall / John Oates,2001-01-23,0.873,0.373,0,-12.685,0,0.0464,0.0213,2.43e-05,0.0497,0.972,110.67,audio_features,0yT3JBkQzJNaS2mCXSPI8Z,spotify:track:0yT3JBkQzJNaS2mCXSPI8Z,https://api.spotify.com/v1/tracks/0yT3JBkQzJNaS2mCXSPI8Z,https://api.spotify.com/v1/audio-analysis/0yT3JBkQzJNaS2mCXSPI8Z,309267,4
1912,5eU8qMd0TpaLqTGDZJaLDs,Need You Tonight,1eClJfHLoDI4rZe5HxzBFv,INXS,Kick,1987,0.801,0.723,10,-4.985,0,0.0689,0.0713,0.154,0.0675,0.883,109.03,audio_features,5eU8qMd0TpaLqTGDZJaLDs,spotify:track:5eU8qMd0TpaLqTGDZJaLDs,https://api.spotify.com/v1/tracks/5eU8qMd0TpaLqTGDZJaLDs,https://api.spotify.com/v1/audio-analysis/5eU8qMd0TpaLqTGDZJaLDs,180518,4
1913,0H9gfzMFbFrMsbzVMHjQbc,Hold Me Now,5jVeqi3PNaTOajfvBa4uFn,Thompson Twins,80 Totally 80s Hits,2014-03-03,0.762,0.712,7,-6.279,1,0.0319,0.719,1.88e-05,0.124,0.806,108.041,audio_features,0H9gfzMFbFrMsbzVMHjQbc,spotify:track:0H9gfzMFbFrMsbzVMHjQbc,https://api.spotify.com/v1/tracks/0H9gfzMFbFrMsbzVMHjQbc,https://api.spotify.com/v1/audio-analysis/0H9gfzMFbFrMsbzVMHjQbc,285373,4
1914,4W4wYHtsrgDiivRASVOINL,Love Shack,3gdbcIdNypBsYNu3iiCjtN,The B-52's,Cosmic Thing,1989-06-23,0.701,0.803,5,-6.786,0,0.0545,0.0544,1.54e-06,0.7,0.903,133.608,audio_features,4W4wYHtsrgDiivRASVOINL,spotify:track:4W4wYHtsrgDiivRASVOINL,https://api.spotify.com/v1/tracks/4W4wYHtsrgDiivRASVOINL,https://api.spotify.com/v1/audio-analysis/4W4wYHtsrgDiivRASVOINL,320680,4
1915,3wqoAzrr5htxSZ7KzxhLHg,Oh Sherrie,5xQKoGD7Ql92fWd1uWwKkf,Steve Perry,Greatest Hits + Five Unreleased,1998-12-01,0.577,0.665,5,-5.572,1,0.0285,0.312,8.89e-05,0.138,0.305,101.807,audio_features,3wqoAzrr5htxSZ7KzxhLHg,spotify:track:3wqoAzrr5htxSZ7KzxhLHg,https://api.spotify.com/v1/tracks/3wqoAzrr5htxSZ7KzxhLHg,https://api.spotify.com/v1/audio-analysis/3wqoAzrr5htxSZ7KzxhLHg,228800,4
1916,38bDGWuyYdSdNfrFfbCiVS,We Didn't Start the Fire,6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,The Essential Billy Joel,2001-10-02,0.711,0.967,7,-5.204,1,0.0474,0.0849,0.0,0.245,0.892,145.02,audio_features,38bDGWuyYdSdNfrFfbCiVS,spotify:track:38bDGWuyYdSdNfrFfbCiVS,https://api.spotify.com/v1/tracks/38bDGWuyYdSdNfrFfbCiVS,https://api.spotify.com/v1/audio-analysis/38bDGWuyYdSdNfrFfbCiVS,288400,4
1917,2aSFLiDPreOVP6KHiWk4lF,Under Pressure - Remastered 2011,1dfeR4HaWDbWqFHLkxsg1d,"Queen, David Bowie",Greatest Hits II,1991-10-28,0.663,0.712,2,-7.268,1,0.0479,0.524,0.0,0.0804,0.527,113.439,audio_features,2aSFLiDPreOVP6KHiWk4lF,spotify:track:2aSFLiDPreOVP6KHiWk4lF,https://api.spotify.com/v1/tracks/2aSFLiDPreOVP6KHiWk4lF,https://api.spotify.com/v1/audio-analysis/2aSFLiDPreOVP6KHiWk4lF,236520,4
